,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Visibilities pred1 [1/s],1948188.6617438558,158712256.14297408,88398.38222631779,30497742.32640041,61062.768339968505,30497742.32640041,1498309.116922096,1387412.7335039305,2311549.18583352,6238477.533916785,1248792.2477435195,1387412.7335039305,2311549.18583352,6238477.533916785,1248792.2477435195,1387412.7335039305,2311549.18583352,6238477.533916785,61112.86681122816,148189.11920900785,148189.11920900785,1429501.8087744215,54670.074543690476,203845.74417932404,27335.037271845238,2055012.0060082057,64278.61767934155,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021814,143698.96361727326,143698.96361727326,322592.7153914576,322592.7153914576,322592.7153914576,966078.3365484157,966078.3365484157,54632.257410250764,72257.05382601058,68407.71670503022,97542.17331012468,72257.05382601058,68407.71670503022,131300.8370506066,451507.3894423598,72257.05382601058,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities pred2 [1/s],3988616.360699523,325080391.118371,66100.25491938693,23326643.91271687,61170.674813298356,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,40885.978675776205,203258.57389392328,20442.989337888106,1728986.5612418326,51505.60391483945,143488.56800991428,143488.56800991428,752386.5131124941,61199.49929229818,148402.25252641633,148402.25252641633,334035.0436599032,334035.0436599032,334035.0436599032,1011461.3236715905,1011461.3236715905,42912.65771823925,72737.76128307858,40529.033295130765,97257.15106242639,72737.76128307858,40529.033295130765,130918.64937161913,450207.1900006478,72737.76128307858,196056.52192063635,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities pred3 [1/s],18502694.34056612,814501371.0890816,218777.85586265312,65686758.90609715,248961.87681103338,65686758.90609715,14230700.600918196,13176787.307993308,43918796.07416283,128036064.91597702,10165196.303974409,13176787.307993308,43918796.07416283,128036064.91597702,10165196.303974409,13176787.307993308,43918796.07416283,128036064.91597702,245673.58498202453,595744.5937325673,595744.5937325673,2873635.1591620515,141622.58873620455,819494.5635906132,54949.85994367155,4647440.147544678,166622.98174879325,771352.5256007434,771352.5256007434,2696509.3239349774,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096021,4531107.721096021,174281.97481523297,290454.20174766175,165758.4369000273,392103.4229052717,290454.20174766175,165758.4369000273,527819.5994952194,1815139.3346248912,290454.20174766175,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities pred4 [1/s],28372268.93170404,624551447.5564055,872742.5718207553,161307147.9011916,970366.3459276553,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,196346924.5533511,18185128.719827663,20205453.943647504,101022866.22592254,196346924.5533511,18185128.719827663,20205453.943647504,101022866.22592254,196346924.5533511,1053333.5846835107,2438211.573504817,2438211.573504817,8097336.194221759,551998.2218540107,3833094.764727136,154217.7333357008,13043121.240024522,,,,,976519.8450413926,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,679276.3165744379,1132090.3420038933,636824.1379337606,1528299.1589906237,1132090.3420038933,636824.1379337606,2139589.8006757093,7428853.120970111,1132090.3420038933,3249037.492008488,6204650.944006525,6204650.944006525,2474284.127693177,6204650.944006525,6204650.944006525
Visibilities pred5 [1/s],,,910642.7784736317,113156925.2861792,1000614.3338841354,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.077066991,,,,,,,,,1038938.8076563287,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,710977.3894164743,1167380.1733090275,656668.5252384875,1558628.3450128695,1167380.1733090275,656668.5252384875,2148997.04772652,7295782.519740423,1167380.1733090275,3290535.0500268927,6093507.554281699,6093507.554281699,2632441.0465286477,6093507.554281699,6093507.554281699
Visibilities pred6 [1/s],,,3495841.4732834417,259168378.32160106,4001355.3523477935,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011723,11540578.747011723,16446153.148886476,16446153.148886476,16446153.148886476,,,2700948.7115189806,4668237.333820918,2625927.215662649,6077003.454375211,4668237.333820918,2625927.215662649,8102621.311450598,35010730.818072766,4668237.333820918,12632338.080090325,29241291.63496894,29241291.63496894,9474283.349799573,29241291.63496894,29241291.63496894
Visibilities pred7 [1/s],,,6212656.336739426,495393215.1353213,6704745.990194433,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398576,22560725.281398576,,,,,,4693363.563614301,7822187.717989075,4562998.54324782,10559900.894514984,7822187.717989075,4562998.54324782,14783794.402442912,68442638.40578821,7822187.717989075,27438845.46191793,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities pred8 [1/s],,,2885117.4156286195,156858909.7132084,3566547.8263684846,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852684,8572200.799852684,,,,,,2292797.0490677897,4160964.4218790988,2229110.7620133143,4814810.302112063,4160964.4218790988,2229110.7620133143,7021571.898381179,26005551.376176804,4160964.4218790988,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities pred9 [1/s],,,3965308.2549622064,137193016.99216768,4765720.8937347615,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,2859448.4396927357,5559997.492158847,2780021.8876468674,6433689.564506441,5559997.492158847,2780021.8876468674,1620607.1462675103,6002189.549808465,960366.9899985491,16717356.321762979,46436916.91469365,46436916.91469365,10030429.562601425,46436916.91469365,46436916.91469365
Visibilities pred10 [1/s],,,391853.12836589164,9832946.63164279,403672.5791156481,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.12372070557,1552372.5816993127,1552372.5816993127,,,,,,290645.5617541059,470950.507895712,282572.29507614195,726607.2699162776,470950.507895712,282572.29507614195,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127844,3933372.1611527153,3933372.1611527153
Visibilities pred11 [1/s],,,232527.14258117645,4214119.9733702345,266156.9809855564,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,179656.62740066016,310515.94265843043,174666.28400084833,359310.4114519165,310515.94265843043,174666.28400084833,,,,1400455.840206934,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
Visibilities bw0 [1/s],3610566.5099345464,423194095.29833394,716090.3327573389,241609545.09431344,593553.7225369944,241609545.09431344,2776629.70880828,2571284.615632879,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.615632879,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.615632879,4282493.162604078,9686144.1489792,329977.4115688298,800110.3533410244,992559.5537826391,11576477.286249842,593553.7225369944,1015950.3430569423,204338.06615205077,17282099.231556825,593553.7225369944,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528559,985969.6387657714,1741758.0563496472,1741758.0563496472,1741758.0563496472,5476886.68607576,5476886.68607576,593553.7225369944,573558.2324082683,830975.2115517922,663639.3355268477,573558.2324082683,830975.2115517922,774193.4141382019,2437794.672649389,830975.2115517922,1043666.7188045931,1988726.4798986902,1988726.4798986902,839706.3426737391,1988726.4798986902,1988726.4798986902
Visibilities bw1 [1/s],1948188.6617438558,158712256.14297408,88398.38222631779,30497742.32640041,61062.768339968505,30497742.32640041,1498309.116922096,1387412.7335039305,2311549.18583352,6238477.533916785,1248792.2477435195,1387412.7335039305,2311549.18583352,6238477.533916785,1248792.2477435195,1387412.7335039305,2311549.18583352,6238477.533916785,61112.86681122816,148189.11920900785,148189.11920900785,1429501.8087744215,54670.074543690476,203845.74417932404,27335.037271845238,2055012.0060082057,64278.61767934155,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021814,143698.96361727326,143698.96361727326,322592.7153914576,322592.7153914576,322592.7153914576,966078.3365484157,966078.3365484157,54632.257410250764,72257.05382601058,68407.71670503022,97542.17331012468,72257.05382601058,68407.71670503022,131300.8370506066,451507.3894423598,72257.05382601058,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities bw2 [1/s],3988616.360699523,325080391.118371,66100.25491938693,23326643.91271687,61170.674813298356,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,40885.978675776205,203258.57389392328,20442.989337888106,1728986.5612418326,51505.60391483945,143488.56800991428,143488.56800991428,752386.5131124941,61199.49929229818,148402.25252641633,148402.25252641633,334035.0436599032,334035.0436599032,334035.0436599032,1011461.3236715905,1011461.3236715905,42912.65771823925,72737.76128307858,40529.033295130765,97257.15106242639,72737.76128307858,40529.033295130765,130918.64937161913,450207.1900006478,72737.76128307858,196056.52192063635,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],18502694.34056612,814501371.0890816,218777.85586265312,65686758.90609715,248961.87681103338,65686758.90609715,14230700.600918196,13176787.307993308,43918796.07416283,128036064.91597702,10165196.303974409,13176787.307993308,43918796.07416283,128036064.91597702,10165196.303974409,13176787.307993308,43918796.07416283,128036064.91597702,245673.58498202453,595744.5937325673,595744.5937325673,2873635.1591620515,141622.58873620455,819494.5635906132,54949.85994367155,4647440.147544678,166622.98174879325,771352.5256007434,771352.5256007434,2696509.3239349774,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096021,4531107.721096021,174281.97481523297,290454.20174766175,165758.4369000273,392103.4229052717,290454.20174766175,165758.4369000273,527819.5994952194,1815139.3346248912,290454.20174766175,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],28372268.93170404,624551447.5564055,872742.5718207553,161307147.9011916,970366.3459276553,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,196346924.5533511,18185128.719827663,20205453.943647504,101022866.22592254,196346924.5533511,18185128.719827663,20205453.943647504,101022866.22592254,196346924.5533511,1053333.5846835107,2438211.573504817,2438211.573504817,8097336.194221759,551998.2218540107,3833094.764727136,154217.7333357008,13043121.240024522,,,,,976519.8450413926,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,679276.3165744379,1132090.3420038933,636824.1379337606,1528299.1589906237,1132090.3420038933,636824.1379337606,2139589.8006757093,7428853.120970111,1132090.3420038933,3249037.492008488,6204650.944006525,6204650.944006525,2474284.127693177,6204650.944006525,6204650.944006525
Visibilities bw5 [1/s],,,910642.7784736317,113156925.2861792,1000614.3338841354,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.077066991,,,,,,,,,1038938.8076563287,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,710977.3894164743,1167380.1733090275,656668.5252384875,1558628.3450128695,1167380.1733090275,656668.5252384875,2148997.04772652,7295782.519740423,1167380.1733090275,3290535.0500268927,6093507.554281699,6093507.554281699,2632441.0465286477,6093507.554281699,6093507.554281699
Visibilities bw6 [1/s],,,3495841.4732834417,259168378.32160106,4001355.3523477935,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011723,11540578.747011723,16446153.148886476,16446153.148886476,16446153.148886476,,,2700948.7115189806,4668237.333820918,2625927.215662649,6077003.454375211,4668237.333820918,2625927.215662649,8102621.311450598,35010730.818072766,4668237.333820918,12632338.080090325,29241291.63496894,29241291.63496894,9474283.349799573,29241291.63496894,29241291.63496894
Visibilities bw7 [1/s],,,6212656.336739426,495393215.1353213,6704745.990194433,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398576,22560725.281398576,,,,,,4693363.563614301,7822187.717989075,4562998.54324782,10559900.894514984,7822187.717989075,4562998.54324782,14783794.402442912,68442638.40578821,7822187.717989075,27438845.46191793,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,2885117.4156286195,156858909.7132084,3566547.8263684846,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852684,8572200.799852684,,,,,,2292797.0490677897,4160964.4218790988,2229110.7620133143,4814810.302112063,4160964.4218790988,2229110.7620133143,7021571.898381179,26005551.376176804,4160964.4218790988,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,3965308.2549622064,137193016.99216768,4765720.8937347615,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,2859448.4396927357,5559997.492158847,2780021.8876468674,6433689.564506441,5559997.492158847,2780021.8876468674,1620607.1462675103,6002189.549808465,960366.9899985491,16717356.321762979,46436916.91469365,46436916.91469365,10030429.562601425,46436916.91469365,46436916.91469365
Visibilities bw10 [1/s],,,391853.12836589164,9832946.63164279,403672.5791156481,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.12372070557,1552372.5816993127,1552372.5816993127,,,,,,290645.5617541059,470950.507895712,282572.29507614195,726607.2699162776,470950.507895712,282572.29507614195,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127844,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,232527.14258117645,4214119.9733702345,266156.9809855564,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,179656.62740066016,310515.94265843043,174666.28400084833,359310.4114519165,310515.94265843043,174666.28400084833,,,,1400455.840206934,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
