,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945
Delta W earth5 [lambda],,,,,,,,,,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653
Delta W earth6 [lambda],,,,,,,,,,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432
Delta W earth7 [lambda],,,,,,,,,,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055
Delta W earth8 [lambda],,,,,,,,,,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399
Delta W earth9 [lambda],,,,,,,,,,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573
Delta W earth10 [lambda],,,,,,,,,,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,11916.883732635639,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,6595.043989891239,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518
Delta W earth11 [lambda],,,,,,,,,,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,15865.673608538573,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,8780.38401021023,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222
Delta W snapshot0 [lambda],25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,191.48942640568382,191.48942640568382,0.3192508908618975,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,3934.2862741690988,3934.2862741690988,6.559236306203373,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,3934.2862741690988,2177.3134343765146,2177.3134343765146,3.630013764507508,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,2177.3134343765146,450.0724947465168,450.0724947465168,0.750360203157396,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168
Delta W snapshot1 [lambda],51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,287.2341396085257,287.2341396085257,0.47887633629284626,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,5901.429411253648,5901.429411253648,9.83885445930506,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,5901.429411253648,3265.9701515647716,3265.9701515647716,5.445020646761262,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,3265.9701515647716,675.1087421197752,675.1087421197752,1.1255403047360941,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752
Delta W snapshot2 [lambda],103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,382.97885281136763,382.97885281136763,0.638501781723795,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,7868.5725483381975,7868.5725483381975,13.118472612406746,7868.5725483381975,7868.5725483381975,7868.5725483381975,7868.5725483381975,7868.5725483381975,7868.5725483381975,4354.626868753029,4354.626868753029,7.260027529015016,4354.626868753029,4354.626868753029,4354.626868753029,4354.626868753029,4354.626868753029,4354.626868753029,900.1449894930336,900.1449894930336,1.500720406314792,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336
Delta W snapshot3 [lambda],207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,574.4682792170514,574.4682792170514,0.9577526725856925,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,11802.858822507296,11802.858822507296,19.67770891861012,11802.858822507296,11802.858822507296,11802.858822507296,11802.858822507296,11802.858822507296,11802.858822507296,6531.940303129543,6531.940303129543,10.890041293522524,6531.940303129543,6531.940303129543,6531.940303129543,6531.940303129543,6531.940303129543,6531.940303129543,1350.2174842395505,1350.2174842395505,2.2510806094721882,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505
Delta W snapshot4 [lambda],414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,957.4471320284191,957.4471320284191,1.5962544543094874,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,19671.431370845494,19671.431370845494,32.79618153101686,19671.431370845494,19671.431370845494,19671.431370845494,19671.431370845494,19671.431370845494,19671.431370845494,10886.567171882572,10886.567171882572,18.150068822537538,10886.567171882572,10886.567171882572,10886.567171882572,10886.567171882572,10886.567171882572,10886.567171882572,2250.362473732584,2250.362473732584,3.75180101578698,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584
Delta W snapshot5 [lambda],,,,,,,,,,1340.4259848397867,1340.4259848397867,2.2347562360332827,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,27540.00391918369,27540.00391918369,45.91465414342361,27540.00391918369,27540.00391918369,27540.00391918369,27540.00391918369,27540.00391918369,27540.00391918369,15241.1940406356,15241.1940406356,25.410096351552554,15241.1940406356,15241.1940406356,15241.1940406356,15241.1940406356,15241.1940406356,15241.1940406356,3150.5074632256174,3150.5074632256174,5.252521422101772,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174
Delta W snapshot6 [lambda],,,,,,,,,,2106.383690462522,2106.383690462522,3.5117597994808722,2106.383690462522,2106.383690462522,2106.383690462522,2106.383690462522,2106.383690462522,2106.383690462522,43277.14901586009,43277.14901586009,72.1515993682371,43277.14901586009,43277.14901586009,43277.14901586009,43277.14901586009,43277.14901586009,43277.14901586009,23950.447778141657,23950.447778141657,39.930151409582585,23950.447778141657,23950.447778141657,23950.447778141657,23950.447778141657,23950.447778141657,23950.447778141657,4950.797442211685,4950.797442211685,8.253962234731356,4950.797442211685,4950.797442211685,4950.797442211685,4950.797442211685,4950.797442211685,4950.797442211685
Delta W snapshot7 [lambda],,,,,,,,,,2872.341396085257,2872.341396085257,4.788763362928463,2872.341396085257,2872.341396085257,2872.341396085257,2872.341396085257,2872.341396085257,2872.341396085257,59014.29411253648,59014.29411253648,98.3885445930506,59014.29411253648,59014.29411253648,59014.29411253648,59014.29411253648,59014.29411253648,59014.29411253648,32659.701515647717,32659.701515647717,54.45020646761262,32659.701515647717,32659.701515647717,32659.701515647717,32659.701515647717,32659.701515647717,32659.701515647717,6751.087421197752,6751.087421197752,11.25540304736094,6751.087421197752,6751.087421197752,6751.087421197752,6751.087421197752,6751.087421197752,6751.087421197752
Delta W snapshot8 [lambda],,,,,,,,,,3446.8096753023087,3446.8096753023087,5.746516035514155,3446.8096753023087,3446.8096753023087,3446.8096753023087,3446.8096753023087,3446.8096753023087,3446.8096753023087,70817.15293504378,70817.15293504378,118.06625351166072,70817.15293504378,70817.15293504378,70817.15293504378,70817.15293504378,70817.15293504378,70817.15293504378,39191.64181877726,39191.64181877726,65.34024776113515,39191.64181877726,39191.64181877726,39191.64181877726,39191.64181877726,39191.64181877726,39191.64181877726,8101.304905437302,8101.304905437302,13.506483656833128,8101.304905437302,8101.304905437302,8101.304905437302,8101.304905437302,8101.304905437302,8101.304905437302
Delta W snapshot9 [lambda],,,,,,,,,,4212.767380925044,4212.767380925044,7.0235195989617445,4212.767380925044,4212.767380925044,4212.767380925044,4212.767380925044,4212.767380925044,4212.767380925044,86554.29803172017,86554.29803172017,144.3031987364742,86554.29803172017,86554.29803172017,86554.29803172017,86554.29803172017,86554.29803172017,86554.29803172017,47900.895556283314,47900.895556283314,79.86030281916517,47900.895556283314,47900.895556283314,47900.895556283314,47900.895556283314,47900.895556283314,47900.895556283314,9901.59488442337,9901.59488442337,16.50792446946271,9901.59488442337,9901.59488442337,9901.59488442337,9901.59488442337,9901.59488442337,9901.59488442337
Delta W snapshot10 [lambda],,,,,,,,,,4978.725086547779,4978.725086547779,8.300523162409334,4978.725086547779,4978.725086547779,4978.725086547779,4978.725086547779,4978.725086547779,4978.725086547779,102291.44312839657,102291.44312839657,170.5401439612877,102291.44312839657,102291.44312839657,102291.44312839657,102291.44312839657,102291.44312839657,102291.44312839657,56610.14929378937,56610.14929378937,94.38035787719521,56610.14929378937,56610.14929378937,56610.14929378937,56610.14929378937,56610.14929378937,56610.14929378937,11701.884863409436,11701.884863409436,19.509365282092297,11701.884863409436,11701.884863409436,11701.884863409436,11701.884863409436,11701.884863409436,11701.884863409436
Delta W snapshot11 [lambda],,,,,,,,,,5744.682792170514,5744.682792170514,9.577526725856925,5744.682792170514,5744.682792170514,5744.682792170514,5744.682792170514,5744.682792170514,5744.682792170514,118028.58822507296,118028.58822507296,196.7770891861012,118028.58822507296,118028.58822507296,118028.58822507296,118028.58822507296,118028.58822507296,118028.58822507296,65319.403031295435,65319.403031295435,108.90041293522523,65319.403031295435,65319.403031295435,65319.403031295435,65319.403031295435,65319.403031295435,65319.403031295435,13502.174842395503,13502.174842395503,22.51080609472188,13502.174842395503,13502.174842395503,13502.174842395503,13502.174842395503,13502.174842395503,13502.174842395503
