Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AW kernel support bw2 [uv-pixels],10.19092616346308,11.746700260395855,10.110472670484532,16.05482157238679,10.08076547502532,11.407719759717478,10.28718934925449,10.183411624324002,10.389525331545629,10.388272898788083,10.175007801470102,10.183411624324002,10.389525331545629,10.388272898788083,10.175007801470102,10.183411624324002,10.389525331545629,10.388272898788083,10.61693373649153,10.960794175542777,10.693934849215513,19.683440283226542,12.113471178029576,10.685620470156964,11.58227110969367,17.870566680087425,12.676667049429508,10.867193663638652,10.62959043519585,19.977865788396716,10.148894229385158,10.126937684293614,10.121178657125641,10.581436661244211,10.446223734922077,10.314991616394689,10.817812635805966,10.442929873594,10.235623512950323,10.112935851487018,10.321837424485468,10.189870223454665,10.112935851487018,10.321837424485468,10.171764972445283,10.297846261764047,10.238991930270121,10.117613520223992,10.128869013978928,10.087567253155678,10.108661313452819,10.128869013978928,10.087567253155678
AW kernel support bw3 [uv-pixels],10.532385787615485,14.422760967227362,10.20226064450144,19.777895961367886,10.14803294887525,12.470500331629918,10.794768764007536,10.511739008123438,11.069612267512957,11.066272939722056,10.48861991855518,10.511739008123438,11.069612267512957,11.066272939722056,10.48861991855518,10.511739008123438,11.069612267512957,11.066272939722056,11.109205882383755,11.70835035131057,11.244440019066314,25.120419357286423,13.642882054209016,11.22986867117228,12.76372491683871,22.47371676475601,14.556400157474558,11.546445657114049,11.131478774305167,25.546997185348328,10.272216238431042,10.232263813574903,10.221773718108643,11.046644340500707,10.80702251532118,10.572365851126936,11.460682533942636,10.801158466403429,10.429394770958828,10.206751508366107,10.584659799992723,10.346601973256234,10.206751508366107,10.584659799992723,10.313762539054608,10.541549458911652,10.43547914981683,10.215277529670022,10.235780724449477,10.160459664138685,10.198957653009597,10.235780724449477,10.160459664138685
AW kernel support bw4 [uv-pixels],11.581756682539593,20.19477090348624,10.431102145040262,27.03852874200482,10.3163932828822,14.830953347962193,12.215386021003106,11.791015130343055,16.800735011292883,12.799261848375705,11.331996128555707,11.791015130343055,16.800735011292883,12.799261848375705,11.331996128555707,11.791015130343055,16.800735011292883,12.799261848375705,12.26957390128953,13.419933486725068,12.53296872559652,35.39447781537857,16.918456276913624,12.504700794647775,15.361323896682295,31.283783923236655,,,,,10.57816443185952,10.494300176072072,10.47222553352918,12.146907602857361,11.671956694252264,11.198249806598188,12.180038838485238,11.211460253908434,10.904999640935742,10.440573650957102,11.223296034294092,10.733444844812997,10.440573650957102,11.223296034294092,10.665028903770454,11.135352115558343,10.917555589567629,10.458543848272106,10.501695785825115,10.342735500548505,10.424133212905586,10.501695785825115,10.342735500548505
AW kernel support bw5 [uv-pixels],,,10.705689084793573,33.9348639378647,10.51960455308946,17.3031191731102,,,,,,,,,,,,,13.562542310450468,15.266959045888962,13.957168928508326,44.98053249547333,,,,,,,,,10.94259502109688,10.807719597967253,10.772119860822558,13.37774847087075,12.655566951294245,11.923266305653414,,,11.462929662536853,10.721002286513567,11.962320740705657,11.190825191655835,10.721002286513567,11.962320740705657,11.081690504773952,11.825013625716425,11.482760465572818,10.750034586858868,10.81963725392423,10.56244165734366,10.694416987244802,10.81963725392423,10.56244165734366
AW kernel support bw6 [uv-pixels],,,11.351339245182341,46.812840807047834,11.002213913034849,22.24889255615249,,,,,,,,,,,,,14.236480298643038,16.211484688614707,14.695803149795742,49.570286885808294,,,,,,,,,11.789391789582373,11.540841686705212,11.474870499072354,15.338297876882686,14.248861747729592,13.121860572053011,,,12.729633857238822,11.379864753143869,13.608384890075783,12.241428223729425,11.379864753143869,13.608384890075783,12.043517479298735,13.368813808913425,12.764937669660844,11.433863964392465,11.56289178139108,11.083000958582062,11.330322199633171,11.56289178139108,11.083000958582062
AW kernel support bw7 [uv-pixels],,,12.084553377961571,58.79397396229438,11.557587783937876,27.054502562027018,,,,,,,,,,,,,,,,,,,,,,,,,12.736686565298825,12.367825227398189,12.269418112311678,,,,,,14.108510931927263,12.127312330626427,15.36350459299203,13.40050737843493,12.127312330626427,15.36350459299203,13.110926203263798,15.023565444526174,14.159385323357485,12.208139195979168,12.400668389918966,11.680147179037382,12.053021844908303,12.400668389918966,11.680147179037382
AW kernel support bw8 [uv-pixels],,,12.672663368933152,67.34652219135556,12.007988607369347,30.5495776448463,,,,,,,,,,,,,,,,,,,,,,,,,13.48753973080908,13.02758930998757,12.904465011942362,,,,,,15.179774968728827,12.726338611502179,16.70813945627913,14.309696905859791,12.726338611502179,16.70813945627913,13.951869762669117,16.295695928187172,15.242056150628674,12.827701468048515,13.068641546496078,12.163124158360374,12.633058322385873,13.068641546496078,12.163124158360374
AW kernel support bw9 [uv-pixels],,,13.491098961964965,78.30115030918331,12.641154260902667,35.07322883122443,,,,,,,,,,,,,,,,,,,,,,,,,14.521653164900048,13.941372985163193,13.785431592283665,,,,,,16.63113944852162,13.559342981459267,18.510460790643602,15.551012717751659,13.559342981459267,18.510460790643602,14.237288209113562,16.72240081868075,15.993446988448756,13.688070375942239,13.993308093602721,12.840381572678792,13.440708745287713,13.993308093602721,12.840381572678792
AW kernel support bw10 [uv-pixels],,,14.335871436366158,88.84095148868444,13.301454196518295,39.457282141533,,,,,,,,,,,,,,,,,,,,,,,,,15.57826189731011,14.880128882968814,14.69190448221386,,,,,,18.091650635260244,14.4185135578894,22.41063610470691,16.808966437957604,14.4185135578894,22.41063610470691,,,,14.57424702323208,14.942755611846911,13.544832842795307,14.274813127789002,14.942755611846911,13.544832842795307
AW kernel support bw11 [uv-pixels],,,15.741795651736716,99.0413504201205,13.980823878626781,43.718835152353854,,,,,,,,,,,,,,,,,,,,,,,,,16.646533104555903,15.833549959654656,15.613764466491347,,,,,,19.550402469409928,15.29404083121775,26.84340265026261,18.072378366687705,15.29404083121775,26.84340265026261,,,,15.476240052315774,15.90661904464989,14.267965886686778,15.125742720574124,15.90661904464989,14.267965886686778
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Cleaning memory [PetaBytes],0.0020822188206076676,13.537727443188897,0.04230743734749433,481.36462048704647,0.013470336585275229,441.3959892262987,0.01082662947439013,0.001485134358626904,0.10313433046020168,0.4455403075880712,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.4455403075880712,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.4455403075880712,0.004577771617304449,0.00043607792422119794,0.218038962110599,1.3954493575078335,0.0005963430259106221,0.00018405648947858704,0.007362259579143483,8.953243699941728,0.00019785230376452256,6.106552585324769e-05,0.018319657755974307,2.8185801482119834,0.06410414641970531,0.006106552585324772,3.053276292662386,0.0014135538391955478,0.0014135538391955478,0.353388459798887,0.0005223140413270903,0.0914049572322408,0.06726978327993767,0.020762278790104217,5.0463872059281085,0.15135701237985974,0.020762278790104217,5.0463872059281085,0.02698265751561944,0.005783319940762054,2.024161979266719,0.06218215261170708,0.013327793340986605,6.663896670493303,0.13990984337634096,0.013327793340986605,6.663896670493303
Working (cache) memory [TeraBytes],4.574963986497719e-05,0.00030970755386453664,0.000529934629391,0.031349049238847924,1.5281835984592578e-05,0.001263044535256121,0.0007071065577127979,7.989415548726815e-05,0.0002015783009176349,0.0010441825223444184,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0010441825223444184,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0010441825223444184,0.00021307969406220064,1.7018469631865086e-05,1.0230326629941024e-05,0.0009375367047927704,2.0819915858752297e-05,3.4668383244819504e-06,1.2988407101301718e-05,0.00021336955426601816,9.695490465417028e-06,1.5756341900114624e-06,9.577549284871856e-07,0.00010643001007185577,0.00048270720266556074,1.515533219913098e-05,1.4124768607038847e-05,2.5774503078421966e-05,1.7134280621255602e-05,1.0047878166451977e-05,1.101766934977389e-05,4.268443543106855e-06,0.0012428466128980267,0.00022849184343225366,0.00025328197504630775,0.0027386535590850727,0.00022849184343225366,0.00025328197504630775,0.00027283367287600247,3.944752455674667e-05,3.185889836696157e-05,0.00024299042648441392,3.1013050736689436e-05,1.727036086377943e-05,0.000598650729418768,3.1013050736689436e-05,1.727036086377943e-05
Visibility I/O Rate [TeraBytes/s],1.2511061664074776,11.01659111424,5.258668558628569,10.517337117257139,2.490939472257251,10.517337117257139,8.018503658597757,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,0.49754813030459377,0.11056824250707471,0.11056824250707471,0.36720158963896665,0.1533291422953496,0.05111073376601331,0.0020563492411020895,0.17391782308940196,0.03955651808404299,0.013185953484089893,0.013185953484089893,0.046095715428078235,4.310681175266154,0.957933755650852,1.915867511301704,0.6657692405954102,0.39946154435724607,0.7989230887144921,0.27039443454919054,0.16223666072951434,8.71824638465931,2.906091589991751,5.812183179983502,8.764447597714284,2.906091589991751,5.812183179983502,5.450843057025488,1.816957026218208,3.633914052436416,7.281559070568832,2.427194416306637,4.854388832613274,8.764447597714284,2.427194416306637,4.854388832613274
Inter-Facet I/O Rate [TeraBytes/s],0.020974731709417892,1.9091666907061264,0.7458041840103166,67.88475417125014,0.4749157129423958,62.24815232678571,0.0016656353037523273,0.00027925603324608446,0.002424097510816706,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.010472101246728167,0.0035213627825418834,0.00040998779200283566,0.005124847400035446,0.03279902336022685,0.005734067556832904,0.00017304456275764592,0.00017304456275764592,0.210439488673844,0.0025942172696397183,7.828913570929189e-05,0.0005871685178196893,0.09033910731448663,0.04931088186131177,0.005741203285348075,0.07176504106685094,0.02652070992862191,0.03241420102387122,0.40517751279839026,0.0034242616345744542,0.005859292130271844,0.32341241961508493,0.009760045585091725,0.11861166509660082,0.05821423553071528,0.009760045585091725,0.11861166509660082,0.010377945198315168,0.0027186546730078027,0.047576456777636555,0.02391621254296426,0.006265201997899685,0.15663004994749213,0.0538114782216696,0.006265201997899685,0.15663004994749213
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],3.494610621591237,59.12497493210001,14.395373800718245,1470.677050957155,6.4989913164264355,1316.4264715225497,13.640457586524633,4.719913063373399,5.137333752062349,13.918141001006182,8.429817665030464,4.719913063373399,5.137333752062349,13.918141001006182,8.429817665030464,4.719913063373399,5.137333752062349,13.918141001006182,0.8913646826527164,0.32535352820482893,0.3875626617739068,1.8935541729157,0.2713992984642337,0.15984708692197322,0.009371199713079882,3.258898809522596,0.07768041332078147,0.045429412760401244,0.052599020824599184,1.3076040266581936,6.32234346954786,2.5202790062099565,3.952054189191129,1.95285628018104,1.1495729364731804,9.58675419982017,0.46835140365361166,0.6005523741323845,12.425011556169022,7.439745166254028,10.045316012148874,14.341767056353188,7.439745166254028,10.045316012148874,7.748995223430708,4.692486654128893,5.756343811649521,9.978955998539252,6.132964554502642,9.464974283272984,12.912050833176464,6.132964554502642,9.464974283272984
-> Flag [PetaFLOP/s],0.013332100085779683,0.11739554906112,0.05603768682788569,0.11207537365577137,0.02654407375124133,0.11207537365577137,0.08389359452807903,0.018989043888572785,0.03797808777714557,0.07381379101621952,0.05592974026543464,0.018989043888572785,0.03797808777714557,0.07381379101621952,0.05592974026543464,0.018989043888572785,0.03797808777714557,0.07381379101621952,0.005205597313311812,0.001178242834216015,0.001178242834216015,0.003912991939590238,0.0016042061512650957,0.0005446487566940794,2.191297160049414e-05,0.0018533118022964394,0.0004138600704542998,0.00014051281681483292,0.00014051281681483292,0.0004912074675304586,0.04510050179622213,0.010207981583654392,0.020415963167308784,0.006965610679729478,0.004256762082056904,0.008513524164113807,0.002829001771470906,0.0017288344158988872,0.09121465279949802,0.030968038505849598,0.061936077011699196,0.09169803299108567,0.030968038505849598,0.061936077011699196,0.057029445484129165,0.019361948310637776,0.03872389662127555,0.0761833117758264,0.0258647904987676,0.0517295809975352,0.09169803299108567,0.0258647904987676,0.0517295809975352
-> Reprojection [PetaFLOP/s],0.0038377096548749467,1.0604839194636593,0.06013122888886338,10.079929066601544,0.014220520364887926,1.3351111354091918,0.017710786787617103,0.00021513996112269187,0.003996377417069861,0.5442759717739163,0.007627704019348727,0.00021513996112269187,0.003996377417069861,0.5442759717739163,0.007627704019348727,0.00021513996112269187,0.003996377417069861,0.5442759717739163,0.003894482750331835,4.973046939026321e-05,0.0004980869973422021,0.11187923107831652,0.001109214935690557,1.781982619895622e-05,7.952386720458935e-05,0.0240163638691905,0.00027926919660834984,4.538413948839421e-06,4.5259223490239093e-05,0.005467802895989109,0.01124677843550223,0.00867562229547533,0.0035798315724492706,0.0010917694845675166,9.988048367752137e-05,0.002023199407928885,0.0003919429335613894,0.0003644202155538786,0.028341334958006746,0.0006004923783415407,0.020633669250672126,0.05416757812500144,0.0006004923783415407,0.020633669250672126,0.014058250373529316,0.0005450524786263689,0.010115592278424512,0.010505230266983839,0.0003120953650558665,0.006466729616486681,0.020187572759286322,0.0003120953650558665,0.006466729616486681
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,1.939278008653365e-06,,,,1.939278008653365e-06,,,,1.939278008653365e-06,,,,2.049938960014179e-06,,,,8.652228137882298e-07,,,,3.9144567854645957e-07,,,,,,,0.00016207100511935618,,,,,3.388904717045737e-05,,,3.388904717045737e-05,,,1.3593273365039017e-05,,,3.132600998949843e-05,,,3.132600998949843e-05,
